index,num_topics,alpha,beta,coherence,silhouette
4,3,asymmetric,0.9,0.29288132848250553,0.7604707393494616
3,3,asymmetric,0.8,0.2901038167628276,0.7525384979378618
2,3,asymmetric,0.6,0.2926915995118447,0.7390800014691039
1,3,asymmetric,0.4,0.2844735966396701,0.7316526222120279
125,3,asymmetric,auto,0.2816013404950637,0.7297222046466745
0,3,asymmetric,0.2,0.2819740440798855,0.7238920069508641
29,4,asymmetric,0.9,0.30707381766534164,0.6938942713771268
28,4,asymmetric,0.8,0.28922445593707824,0.6819408561304388
27,4,asymmetric,0.6,0.2838869201250879,0.6633601089836756
26,4,asymmetric,0.4,0.27140819029934304,0.6466463621618849
79,6,asymmetric,0.9,0.3370199396077447,0.6438917332830228
104,7,asymmetric,0.9,0.3607130515941612,0.6413462655405012
54,5,asymmetric,0.9,0.3314836657524881,0.6411510345274388
14,3,0.3,0.9,0.2899821624697706,0.6393888123773859
126,4,asymmetric,auto,0.2707449558549085,0.6388430982838691
9,3,symmetric,0.9,0.2899821624697706,0.6368017693298815
25,4,asymmetric,0.2,0.27771611149906555,0.6365007905957278
13,3,0.3,0.8,0.2880253819003709,0.6363307979856683
8,3,symmetric,0.8,0.28762390827358103,0.633982850669554
12,3,0.3,0.6,0.2798878234236521,0.6336569419454972
23,3,0.7,0.8,0.26339238163296724,0.6330228040122042
24,3,0.7,0.9,0.26339238163296724,0.6328836528150399
21,3,0.7,0.4,0.2664593050715795,0.6323290852980097
20,3,0.7,0.2,0.2687610115053094,0.6322885372775199
7,3,symmetric,0.6,0.2840159582190063,0.6320202601750816
11,3,0.3,0.4,0.26970680067811925,0.6319031478458199
22,3,0.7,0.6,0.26339238163296724,0.6318455518176973
6,3,symmetric,0.4,0.27292254774307,0.6310681648762414
19,3,0.5,0.9,0.2799207455436788,0.6302263070359577
18,3,0.5,0.8,0.27992074554367885,0.6293845826730592
10,3,0.3,0.2,0.267064605803155,0.6292574299787072
17,3,0.5,0.6,0.2725436952057709,0.6283439823801886
16,3,0.5,0.4,0.2662807768878108,0.6281543773975112
5,3,symmetric,0.2,0.26490294521088165,0.627764854232136
15,3,0.5,0.2,0.2633630614794825,0.6266601711158538
53,5,asymmetric,0.8,0.316679389933242,0.6232927718225317
78,6,asymmetric,0.8,0.3342506989164142,0.6210746926656907
103,7,asymmetric,0.8,0.34475397362311283,0.6146450599354001
52,5,asymmetric,0.6,0.3158235799506952,0.5965940526285471
77,6,asymmetric,0.6,0.28894564508768233,0.5815503897861393
51,5,asymmetric,0.4,0.3154835296964335,0.5788515848130316
34,4,symmetric,0.9,0.27892223811725325,0.5672403864158067
50,5,asymmetric,0.2,0.2852760016902017,0.565901959818333
127,5,asymmetric,auto,0.2852760016902017,0.565901959818333
33,4,symmetric,0.8,0.2844242894752083,0.5645715119441543
114,7,0.3,0.9,0.3056233546249597,0.5642386470140929
32,4,symmetric,0.6,0.2864772209651934,0.5610663042061694
102,7,asymmetric,0.6,0.3034391074304213,0.5604907361249345
37,4,0.3,0.6,0.28411342167115194,0.5602555864342644
39,4,0.3,0.9,0.2891685226757933,0.5595300636429665
38,4,0.3,0.8,0.2860549570732481,0.5586118224590169
