index,num_topics,alpha,beta,coherence,silhouette
0,3,asymmetric,0.2,0.28197404407988547,0.7238920069508641
1,3,asymmetric,0.4,0.2844735966396701,0.7316526222120279
2,3,asymmetric,0.6,0.2926915995118447,0.7390800014691039
3,3,asymmetric,0.8,0.2901038167628276,0.7525384979378618
4,3,asymmetric,0.9,0.29288132848250553,0.7604707393494616
5,3,symmetric,0.2,0.26490294521088165,0.627764854232136
6,3,symmetric,0.4,0.27292254774307,0.6310681648762414
7,3,symmetric,0.6,0.2840159582190063,0.6320202601750816
8,3,symmetric,0.8,0.287623908273581,0.633982850669554
9,3,symmetric,0.9,0.2899821624697706,0.6368017693298815
10,3,0.3,0.2,0.267064605803155,0.6292574299787072
11,3,0.3,0.4,0.26970680067811925,0.6319031478458199
12,3,0.3,0.6,0.27988782342365215,0.6336569419454972
13,3,0.3,0.8,0.2880253819003709,0.6363307979856683
14,3,0.3,0.9,0.2899821624697706,0.6393888123773859
15,3,0.5,0.2,0.2633630614794825,0.6266601711158538
16,3,0.5,0.4,0.26628077688781077,0.6281543773975112
17,3,0.5,0.6,0.27254369520577093,0.6283439823801886
18,3,0.5,0.8,0.27992074554367885,0.6293845826730592
19,3,0.5,0.9,0.2799207455436788,0.6302263070359577
20,3,0.7,0.2,0.2687610115053094,0.6322885372775199
21,3,0.7,0.4,0.2664593050715795,0.6323290852980097
22,3,0.7,0.6,0.26339238163296724,0.6318455518176973
23,3,0.7,0.8,0.26339238163296724,0.6330228040122042
24,3,0.7,0.9,0.26339238163296724,0.6328836528150399
25,4,asymmetric,0.2,0.27771611149906555,0.6365007905957278
26,4,asymmetric,0.4,0.271408190299343,0.6466463621618849
27,4,asymmetric,0.6,0.2838869201250879,0.6633601089836756
28,4,asymmetric,0.8,0.28922445593707824,0.6819408561304388
29,4,asymmetric,0.9,0.30707381766534164,0.6938942713771268
30,4,symmetric,0.2,0.27084677834975923,0.5517379068867672
31,4,symmetric,0.4,0.2849537149557747,0.5562702123886877
32,4,symmetric,0.6,0.2864772209651934,0.5610663042061694
33,4,symmetric,0.8,0.2844242894752083,0.5645715119441543
34,4,symmetric,0.9,0.27892223811725325,0.5672403864158067
35,4,0.3,0.2,0.286597293919652,0.5539062153231733
36,4,0.3,0.4,0.2858339839961062,0.556020626119461
37,4,0.3,0.6,0.28411342167115194,0.5602555864342644
